Disaster Subtype,temp,humidity,precipitation,windgust,windspeed ,pressure
cold wave,8.8,59.3,0,15.1,13,1027.3
cold wave,8.4,57.4,0,12.2,11.2,1026.1
cold wave,10.5,51.2,0,24.8,25.9,1022.7
storm (general),11.8,74.6,30.292,67.8,48.1,1005.9
storm (general),10.1,68.8,24.011,77.8,48.2,1005.1
storm (general),12.2,69.5,5.866,64.8,28.5,1019.8
storm (general),13.4,75.8,2.157,59.4,25.9,1023.4
storm (general),9.5,70.3,0.639,31.7,35.6,1007.3
storm (general),7.1,73.8,10.858,51,29.2,1006.6
storm (general),8.4,67.7,0.3,40.9,27.4,1019
storm (general),10.4,67.3,0.2,38.9,22.7,1022.6
storm (general),16,66.2,0,124.2,14.4,1018.9
storm (general),19.4,45.9,0,154,21.7,1015.1
storm (general),18.3,46.2,0,113,13.5,1017.1
storm (general),15.2,73.9,0,76,9.5,1020.1
heat wave,37.6,22.2,0,16.8,,1013.2
heat wave,41.7,12.8,0,22.4,,1011.7
heat wave,40.1,15.8,0,15.5,,1010
heat wave,39.2,17.3,0,28.6,,1008.4
heat wave,36.1,19.1,0,18.9,,1009.9
heat wave,36.1,25.7,0,24.9,,1010
heat wave,35.4,14,0,19.7,,1012.4
heat wave,41.1,20.3,0,22.8,,1011.8
heat wave,39.2,21.8,0,23.2,,1013.3
heat wave,40,10.9,0,17.8,,1010.8
heat wave,35.1,22.2,0,29.5,,1008.7
heat wave,41.8,13.4,0,26.6,,1012.3
heat wave,40.8,11.3,0,29.1,,1012.6
heat wave,36.5,29,0,28.4,,1011.4
heat wave,36.3,29.3,0,24,,1012.6
heat wave,36.3,26.2,0,28.8,,1011
heat wave,37.1,16.1,0,16.3,,1011.1
heat wave,38.7,12,0,17.9,,1010.6
heat wave,38,23.7,0,15.7,,1008.2
heat wave,37,18.8,0,19.9,,1008.6
